epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,595.351,2.05815,2.63731,1.38851,0.66759,0.65626,0.67367,0.3121,1.8004,1.41001,1.20967,0.00999704,0.00333235,0.00999704,0.00333235,0.00999704,0.00333235,0.00999704,0.00333235
2,1052.68,1.92435,1.73456,1.29867,0.71085,0.68813,0.74079,0.36123,1.72715,1.25479,1.18739,0.0192052,0.00640172,0.0192052,0.00640172,0.0192052,0.00640172,0.0192052,0.00640172
3,1491.93,1.93562,1.58102,1.31025,0.70903,0.71074,0.72765,0.3586,1.72279,1.2893,1.21157,0.0276213,0.00920709,0.0276213,0.00920709,0.0276213,0.00920709,0.0276213,0.00920709
4,1913.39,1.9113,1.4714,1.31291,0.77367,0.71781,0.8056,0.40659,1.69338,1.06512,1.20933,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,2340.18,1.84161,1.31592,1.28273,0.79868,0.79658,0.853,0.44569,1.61736,0.94547,1.17044,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,2760.86,1.80247,1.23421,1.26022,0.83549,0.78986,0.86192,0.45623,1.59316,0.92254,1.1605,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,3176.63,1.76588,1.17342,1.2443,0.83518,0.82466,0.87252,0.47701,1.56265,0.87218,1.14387,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,3602.98,1.73758,1.13011,1.23145,0.81919,0.83458,0.86862,0.47423,1.55449,0.87143,1.13618,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,4030.61,1.7227,1.09479,1.21863,0.82247,0.83305,0.88381,0.49047,1.53681,0.82448,1.1324,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,4456.63,1.69686,1.06418,1.20642,0.84592,0.84609,0.89421,0.50189,1.52379,0.81319,1.12273,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,4887.69,1.68735,1.03811,1.19746,0.83333,0.85453,0.89253,0.50146,1.50243,0.7891,1.11396,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,5317.46,1.66977,1.01586,1.18693,0.85354,0.83393,0.9006,0.51494,1.49614,0.78566,1.10713,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,5737.66,1.65284,0.98871,1.18291,0.85318,0.85863,0.90686,0.52186,1.48607,0.75907,1.10552,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,6158.24,1.63503,0.97276,1.17367,0.85647,0.8583,0.90526,0.52523,1.47734,0.74672,1.10447,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,6584.22,1.62231,0.95427,1.17012,0.85486,0.87572,0.9121,0.53383,1.46355,0.73828,1.09774,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,6981.04,1.56271,0.84448,1.17918,0.85123,0.89009,0.91641,0.53308,1.4631,0.72706,1.09532,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,7379.72,1.54177,0.81985,1.16582,0.86283,0.88167,0.92073,0.54595,1.45443,0.70976,1.09189,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,7780.04,1.52172,0.7965,1.15734,0.86267,0.87439,0.91893,0.54529,1.44548,0.70543,1.08704,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,8181.4,1.50467,0.78006,1.14881,0.86426,0.87588,0.92088,0.55125,1.43804,0.69825,1.08413,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,8579.6,1.48663,0.76255,1.14182,0.8663,0.87943,0.92233,0.55348,1.43222,0.68867,1.08479,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,8976.56,1.4723,0.74499,1.13225,0.87259,0.87816,0.92375,0.55467,1.42891,0.68409,1.08215,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,9377.01,1.453,0.72944,1.12604,0.87744,0.88022,0.92317,0.55553,1.42687,0.67701,1.0817,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,9776.31,1.43892,0.71367,1.11817,0.8726,0.88448,0.92281,0.56027,1.42353,0.67269,1.08074,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,10173.2,1.42218,0.69858,1.11419,0.87425,0.88483,0.92409,0.55859,1.42313,0.66957,1.08199,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,10573.7,1.40328,0.68427,1.10462,0.87129,0.88564,0.92453,0.55953,1.42466,0.66799,1.08117,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
